qe,bundle,company,companyReturn,sector,sectorReturn,benchmark,benchmarkReturn
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#company_A,4.8,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#company_A,4.8,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#company_A,4.8,https://w3id.org/ontokg-eq/demo#company_A,4.8
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#company_A,4.8
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#company_A,4.8
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#company_A,4.8,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#company_A,4.8,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#sector_classifier_banking,2.1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
https://w3id.org/ontokg-eq/demo#query_exec_cq3_1,https://w3id.org/ontokg-eq/demo#evidence_bundle_cq3_1,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5,https://w3id.org/ontokg-eq/demo#market_index_kse100,1.5
